1155,I
72,P
26436,I
44265,P
61432,B
87356,B
233154,P
89695,B
15651,B
264413,P
77688,B
93247,B
290870,P
107939,B
25006,B
373515,P
41336,B
378988,P
47307,B
329054,P
49282,B
412387,P
166700,B
210223,B
427830,P
231213,B
33819,B
398244,P
43279,B
396556,P
61699,B
433181,P
41467,B
315132,P
155309,B
135824,B
419052,P
98484,B
49294,B
320326,P
70648,B
64844,B
291090,P
79724,B
35719,B
242904,P
76599,B
71044,B
260821,P
67126,B
32516,B
232445,P
56924,B
63383,B
259404,P
81887,B
30649,B
275383,P
27312,B
89863,P
726071,I
53919,B
27853,B
175502,P
28150,B
169200,P
54348,B
64856,B
211597,P
60515,B
28141,B
169266,P
29226,B
192086,P
47223,B
59733,B
189994,P
53770,B
29617,B
191256,P
27298,B
181908,P
57099,B
69053,B
234014,P
66553,B
41658,B
214870,P
61029,B
53554,B
261989,P
74444,B
35472,B
234006,P
71081,B
72195,B
272039,P
81044,B
26965,B
277651,P
75724,B
83699,B
315053,P
93853,B
41894,B
286115,P
62247,B
72574,B
243527,P
77320,B
30925,B
244955,P
54395,B
49846,B
239457,P
68658,B
33616,B
233800,P
32424,B
97090,P
644357,I
67315,B
31738,B
181287,P
51091,B
52861,B
254144,P
67091,B
30577,B
236866,P
51330,B
84503,B
277658,P
82376,B
36149,B
225024,P
62917,B
51566,B
232835,P
75903,B
32598,B
230293,P
74417,B
80765,B
261526,P
70692,B
33964,B
225603,P
61516,B
53993,B
262223,P
75417,B
34480,B
246805,P
71276,B
67769,B
264001,P
74616,B
37416,B
272307,P
64016,B
56217,B
244475,P
79005,B
26650,B
287031,P
76609,B
68016,B
267239,P
68709,B
39829,B
230267,P
64108,B
59472,B
248369,P
69800,B
31146,B
229640,P
34297,B
83924,P
641453,I
55685,B
32401,B
164048,P
49737,B
53918,B
192301,P
66350,B
32487,B
174443,P
60443,B
59367,B
195247,P
61693,B
31366,B
165645,P
31823,B
158869,P
52159,B
66403,B
212961,P
62164,B
40521,B
242037,P
64516,B
68662,B
241640,P
77090,B
36712,B
228618,P
41851,B
177135,P
66529,B
59000,B
253516,P
70556,B
33345,B
246198,P
83050,B
65710,B
267961,P
61160,B
33719,B
250585,P
46489,B
62451,B
248323,P
76163,B
32245,B
262491,P
53071,B
85736,B
264275,P
56488,B
29955,B
226276,P
43491,B
74886,B
191131,P
130054,P
603271,I
71903,B
37328,B
219846,P
66147,B
56451,B
190521,P
76612,B
32258,B
128320,P
97312,B
41384,B
290143,P
68348,B
63994,B
164427,P
68789,B
34938,B
144953,P
30040,B
88412,P
1065192,I
12741,B
106959,P
16367,B
116134,P
28407,B
129310,P
21211,B
139156,P
25463,B
138787,P
18083,B
119006,P
19925,B
139251,P
44759,B
36211,B
166239,P
49089,B
22520,B
157922,P
45450,B
36696,B
162873,P
56116,B
31713,B
173101,P
48619,B
47031,B
160729,P
55733,B
22772,B
147083,P
56004,B
43641,B
147562,P
47599,B
31176,B
102364,P
53788,B
2105,B
82179,P
